Departement,Solde Migratoire
"Ain",3200
"Aisne",-1100
"Allier",820
"Alpes-Maritimes",3400
"Alpes-de-Haute-Provence",970
"Ardennes",-1200
"Ardèche",1860
"Ariège",920
"Aube",410
"Aude",2720
"Aveyron",1640
"Bas-Rhin",2000
"Bouches-du-Rhône",1360
"Calvados",990
"Cantal",880
"Charente",920
"Charente-Maritime",7200
"Cher",110
"Corrèze",1290
"Corse-du-Sud",1020
"Creuse",420
"Côte-d'Or",320
"Côtes-d'Armor",3320
"Deux-Sèvres",1350
"Dordogne",2470
"Doubs",-200
"Drôme",2720
"Essonne",-5200
"Eure",-2140
"Eure-et-Loir",-920
"Finistère",4130
"Gard",2530
"Gers",1320
"Gironde",13940
"Guadeloupe",-3540
"Guyane",-560
"Haut-Rhin",-120
"Haute-Corse",1540
"Haute-Garonne",7940
"Haute-Loire",860
"Haute-Marne",-510
"Haute-Savoie",2360
"Haute-Saône",-610
"Haute-Vienne",240
"Hautes-Alpes",450
"Hautes-Pyrénées",1080
"Hauts-de-Seine",-7820
"Hérault",10780
"Ille-et-Vilaine",5920
"Indre",360
"Indre-et-Loire",1920
"Isère",1430
"Jura",180
"Landes",3840
"Loir-et-Cher",-70
"Loire",1130
"Loire-Atlantique",9680
"Loiret",980
"Lot",1480
"Lot-et-Garonne",800
"Lozère",500
"Maine-et-Loire",740
"Manche",640
"Marne",-1080
"Martinique",-3460
"Mayenne",-60
"Mayotte",0
"Meurthe-et-Moselle",-960
"Meuse",-670
"Morbihan",6530
"Moselle",-1040
"Nièvre",380
"Nord",-7360
"Oise",-1510
"Orne",-460
"Paris",-19110
"Pas-de-Calais",-3110
"Puy-de-Dôme",3210
"Pyrénées-Atlantiques",4980
"Pyrénées-Orientales",4090
"Rhône",-470
"Réunion",-2050
"Sarthe",-420
"Savoie",1180
"Saône-et-Loire",840
"Seine-Maritime",-1520
"Seine-Saint-Denis",-9870
"Seine-et-Marne",-1120
"Somme",-420
"Tarn",2350
"Tarn-et-Garonne",1450
"Territoire-de-Belfort",-1190
"Val-d'Oise",-3430
"Val-de-Marne",-4950
"Var",8600
"Vaucluse",1260
"Vendée",5990
"Vienne",1610
"Vosges",-620
"Yonne",230
"Yvelines",-3160
